Country,Year,Risk Points for Inflation,Risk Points for GDP per Head,Risk Points for GDP Growth,Risk Points for Budget Balance,Risk Points for Current Account as % of GDP,Aggregate Economic Risk
Mongolia,2001,7.13,0,8,5.13,8.5,28.76
Mongolia,2002,7.5,0,6.5,4,7,25
Mongolia,2003,7.5,0,6.5,4,7,25
Mongolia,2004,8.54,0,7.54,5.46,9.08,30.62
Mongolia,2005,8,0,9,5,8,30
Mongolia,2006,8.25,0,9.5,5.75,8.5,32
Mongolia,2007,8.5,0,10,6.5,9,34
Mongolia,2008,7.63,0,10,6.38,9.71,33.72
Mongolia,2009,4.29,0.83,9.63,4.96,9.58,29.29
Mongolia,2010,7.79,0.71,8.13,4.5,9.33,30.46
Mongolia,2011,7.08,0.5,10,5.13,8.08,30.79
Mongolia,2012,6,0.5,10,6,7.5,30
Mongolia,2013,6.83,0.5,10,6.42,9.17,32.92
Morocco,1984,7.5,2.5,5,5,7.5,27.5
Morocco,1985,6.67,1.74,3.47,3.47,5.21,20.56
Morocco,1986,7,1.25,2.5,2.5,3.75,17
Morocco,1987,7.13,1.28,2.57,2.57,3.85,17.4
Morocco,1988,8.79,2.08,4.17,4.17,6.25,25.46
Morocco,1989,8.5,3.06,6.11,6.11,9.17,32.95
Morocco,1990,8.5,2.92,5.83,5.83,8.75,31.83
Morocco,1991,8.13,2.74,5.49,5.49,8.23,30.08
Morocco,1992,7.67,3.06,6.11,6.11,9.17,32.12
Morocco,1993,8.17,2.92,5.83,5.83,8.75,31.5
Morocco,1994,8.13,2.54,5.07,5.07,7.61,28.42
Morocco,1995,8,2.36,4.72,4.72,7.08,26.88
Morocco,1996,8.42,2.08,4.17,4.17,6.25,25.09
Morocco,1997,9.58,1.73,4.96,5.04,8.27,29.58
Morocco,1998,9.38,0.5,7.54,6,11,34.42
Morocco,1999,9.75,0.4,8.88,6.5,11.21,36.74
Morocco,2000,9.58,0.5,9.21,6,11.67,36.96
Morocco,2001,9.25,0.54,9.75,6.5,11.13,37.17
Morocco,2002,9.5,0.5,8.54,6.5,11.38,36.42
Morocco,2003,9.46,0.5,9,5.88,12.13,36.97
Morocco,2004,9.5,0.5,8.96,6.46,12.71,38.13
Morocco,2005,9.5,0.5,7.5,6,11.63,35.13
Morocco,2006,9.5,0.5,9.17,5.38,11.92,36.47
Morocco,2007,9.5,0.5,8.63,4.5,10.67,33.8
Morocco,2008,9.25,0.5,9.08,5.42,10.67,34.92
Morocco,2009,9.42,0.5,8.08,6.33,11.33,35.66
Morocco,2010,9.92,0.5,8.46,6.04,9.96,34.88
Morocco,2011,9.33,0.5,8.67,4.79,8.83,32.12
Morocco,2012,10,0.5,8.29,4.46,9.71,32.96
Morocco,2013,8.79,0.5,8.25,4,9.29,30.83
Mozambique,1984,NA,NA,NA,NA,NA,0
Mozambique,1985,NA,1.77,3.54,3.54,5.31,14.16
Mozambique,1986,NA,1.67,3.33,3.33,5,13.33
Mozambique,1987,NA,1.81,3.61,3.61,5.42,14.45
Mozambique,1988,NA,2.12,4.24,4.24,6.36,16.96
Mozambique,1989,NA,2.71,5.42,5.42,8.13,21.68
Mozambique,1990,NA,2.92,5.83,5.83,8.75,23.33
Mozambique,1991,NA,2.64,5.28,5.28,7.92,21.12
Mozambique,1992,NA,1.77,3.54,3.54,5.31,14.16
Mozambique,1993,NA,0.83,1.67,1.67,2.5,6.67
Mozambique,1994,NA,0.83,1.67,1.67,2.5,6.67
Mozambique,1995,NA,1.25,2.5,2.5,3.75,10
Mozambique,1996,3,1.25,2.5,2.5,3.75,13
Mozambique,1997,3.54,1.01,5.35,2.35,3.02,15.27
Mozambique,1998,8.42,0,10,1.46,6.25,26.13
Mozambique,1999,10,0,10,2,4.75,26.75
Mozambique,2000,8.88,0,10,2.5,3.5,24.88
Mozambique,2001,8.08,0,10,1.5,6,25.58
Mozambique,2002,8,0,10,1.5,6,25.5
Mozambique,2003,8,0,10,1.5,6,25.5
Mozambique,2004,7.79,0,10,3.38,6.83,28
Mozambique,2005,7.83,0,10,6,8.67,32.5
Mozambique,2006,8,0,10,5.5,11.5,35
Mozambique,2007,8.46,0,10,5.04,10.13,33.63
Mozambique,2008,8.33,0,10,5,9.83,33.16
Mozambique,2009,8,0,9.92,5,9,31.92
Mozambique,2010,7.96,0,9.08,5.13,3.88,26.05
Mozambique,2011,7.33,0,10,5.67,8.17,31.17
Mozambique,2012,7,0,10,4,8.5,29.5
Mozambique,2013,7.46,0,10,4.46,2.08,24
Myanmar,1984,8,1.74,3.47,3.47,5.21,21.89
Myanmar,1985,8,2.08,4.17,4.17,6.25,24.67
Myanmar,1986,8,1.77,3.54,3.54,5.31,22.16
Myanmar,1987,6.96,1.56,3.13,3.13,4.69,19.47
Myanmar,1988,4,0.94,1.88,1.88,2.81,11.51
Myanmar,1989,4.75,0.24,0.49,0.49,0.73,6.7
Myanmar,1990,5,0,0,0,0,5
Myanmar,1991,4.5,0,0,0,0,4.5
Myanmar,1992,3.71,0.59,1.18,1.18,1.77,8.43
Myanmar,1993,3.42,0.83,1.67,1.67,2.5,10.09
Myanmar,1994,1.13,1.28,2.57,2.57,3.85,11.4
Myanmar,1995,3.75,1.84,3.68,3.68,5.52,18.47
Myanmar,1996,5.17,2.6,5.28,5.28,7.92,26.25
Myanmar,1997,4.46,1.82,5.85,3.85,7.79,23.77
Myanmar,1998,3.42,1.5,8.33,4,11.5,28.75
Myanmar,1999,3.25,1.99,6.83,4.75,11.5,28.32
Myanmar,2000,6.63,2,7.5,8,11.5,35.63
Myanmar,2001,7,3,7.92,7.5,11.5,36.92
Myanmar,2002,6.5,3.5,8,7,11.5,36.5
Myanmar,2003,3.21,3.5,7.92,7,11.63,33.26
Myanmar,2004,2.88,3.04,6,7,11.54,30.46
Myanmar,2005,3.71,3,6.29,7,11.71,31.71
Myanmar,2006,3.79,3,7.67,7,11.5,32.96
Myanmar,2007,3.5,0,9.5,5.5,13.5,32
Myanmar,2008,3.71,0,8.5,5.58,13.58,31.37
Myanmar,2009,5.79,0,4.75,5.38,11.38,27.3
Myanmar,2010,7.08,0,6.58,4.17,10.17,28
Myanmar,2011,7.75,0,8.88,3.92,12.75,33.3
Myanmar,2012,8.54,0,9.13,4.13,10.79,32.59
Myanmar,2013,8,0,9.83,5.42,10.17,33.42
Namibia,1984,NA,NA,NA,NA,NA,0
Namibia,1985,NA,NA,NA,NA,NA,0
Namibia,1986,NA,NA,NA,NA,NA,0
Namibia,1987,NA,NA,NA,NA,NA,0
Namibia,1988,NA,NA,NA,NA,NA,0
Namibia,1989,NA,NA,NA,NA,NA,0
Namibia,1990,6,2.92,5.83,5.83,8.75,29.33
Namibia,1991,6,2.92,5.83,5.83,8.75,29.33
Namibia,1992,6,2.74,5.49,5.49,8.23,27.95
Namibia,1993,5.5,2.5,5,5,7.5,25.5
Namibia,1994,7.33,2.5,5,5,7.5,27.33
Namibia,1995,7,1.74,3.61,3.61,5.42,21.38
Namibia,1996,6.71,2.15,4.38,4.38,6.56,24.18
Namibia,1997,7.75,2.1,6.61,5.78,9.75,31.99
Namibia,1998,8.17,0.96,9,6.5,13,37.63
Namibia,1999,7.88,0.77,9,6.13,13.38,37.16
Namibia,2000,7.5,1,9,6,13.5,37
Namibia,2001,7.88,1,8.25,6,13.5,36.63
Namibia,2002,7.67,1,8,5.67,13.5,35.84
Namibia,2003,7.5,1,8,5.5,13.5,35.5
Namibia,2004,8.13,1,8.21,5.71,13.29,36.34
Namibia,2005,8.67,1,8.5,6,13.33,37.5
Namibia,2006,8.5,1,8.5,6,13,37
Namibia,2007,8.5,1,8.96,6.46,14.83,39.75
Namibia,2008,8.33,1,9,7.5,15,40.83
Namibia,2009,7.96,1,8.67,9.25,14.63,41.51
Namibia,2010,7.92,1,6.46,5.25,10.5,31.13
Namibia,2011,8.46,1.33,8.5,3.46,10.58,32.33
Namibia,2012,8,1.5,8.5,3,11.5,32.5
Namibia,2013,8,1.5,8.71,3.42,11.08,32.71
Netherlands,1984,9,3.92,7.85,7.85,11.77,40.39
Netherlands,1985,9.5,3.75,7.5,7.5,11.25,39.5
Netherlands,1986,9.5,3.58,7.15,7.15,10.73,38.11
Netherlands,1987,9.96,3.33,6.67,6.67,10,36.63
Netherlands,1988,10,3.33,6.67,6.67,10,36.67
Netherlands,1989,9.75,3.33,6.67,6.67,10,36.42
Netherlands,1990,9.5,3.33,6.67,6.67,10,36.17
Netherlands,1991,9,3.33,6.67,6.67,10,35.67
Netherlands,1992,8.75,2.99,5.97,5.97,8.96,32.64
Netherlands,1993,9,2.5,5,5,7.5,29
Netherlands,1994,9.5,2.5,5,5,7.5,29.5
Netherlands,1995,9.21,2.5,5,5,7.5,29.21
Netherlands,1996,9.54,2.88,5.83,5.83,8.75,32.83
Netherlands,1997,9.54,3.96,7.38,6.63,11.33,38.84
Netherlands,1998,9.54,5,8.58,6.58,13.63,43.33
Netherlands,1999,9.63,4.49,8,7.08,13.5,42.7
Netherlands,2000,9.5,5,8.63,7.79,13.25,44.17
Netherlands,2001,8.79,5,7.92,8,13.38,43.09
Netherlands,2002,9.38,5,6.38,8,13,41.76
Netherlands,2003,9.5,5,5.75,7.5,11.75,39.5
Netherlands,2004,10,5,6.5,7,13.13,41.63
Netherlands,2005,10,5,6.63,6.75,13,41.38
Netherlands,2006,10,5,6.5,7.38,13.25,42.13
Netherlands,2007,10,5,8,8.08,14.38,45.46
Netherlands,2008,9.71,5,7.71,7.83,14.21,44.46
Netherlands,2009,9.79,5,3.5,6.75,13.46,38.5
Netherlands,2010,10,5,5.25,4.83,13.5,38.58
Netherlands,2011,9.5,5,6.38,5.42,13.79,40.09
Netherlands,2012,9.08,5,4.71,5.29,14.29,38.37
Netherlands,2013,9.58,5,4.42,5.83,14.58,39.41
New Caledonia,1984,NA,NA,NA,NA,NA,0
New Caledonia,1985,NA,3.44,6.88,6.88,10.31,27.51
New Caledonia,1986,NA,2.5,5,5,7.5,20
New Caledonia,1987,NA,2.5,5,5,7.5,20
New Caledonia,1988,NA,2.5,5,5,7.5,20
New Caledonia,1989,NA,2.57,5.14,5.14,7.71,20.56
New Caledonia,1990,NA,2.5,5,5,7.5,20
New Caledonia,1991,NA,2.5,5,5,7.5,20
New Caledonia,1992,NA,2.5,5,5,7.5,20
New Caledonia,1993,NA,2.5,5,5,7.5,20
New Caledonia,1994,NA,2.5,5,5,7.5,20
New Caledonia,1995,NA,2.5,5,5,7.5,20
New Caledonia,1996,NA,NA,1.25,1.25,NA,2.5
New Caledonia,1997,NA,NA,0,0,NA,0
New Caledonia,1998,NA,NA,NA,NA,NA,0
New Caledonia,1999,NA,NA,NA,NA,NA,0
New Caledonia,2000,NA,NA,NA,NA,NA,0
New Caledonia,2001,NA,NA,NA,NA,NA,0
New Caledonia,2002,NA,NA,NA,NA,NA,0
New Caledonia,2003,NA,NA,NA,NA,NA,0
New Caledonia,2004,NA,NA,NA,NA,NA,0
New Caledonia,2005,NA,NA,NA,NA,NA,0
New Caledonia,2006,NA,NA,NA,NA,NA,0
New Caledonia,2007,NA,NA,NA,NA,NA,0
New Caledonia,2008,NA,NA,NA,NA,NA,0
New Caledonia,2009,NA,NA,NA,NA,NA,0
New Caledonia,2010,NA,NA,NA,NA,NA,0
New Caledonia,2011,NA,NA,NA,NA,NA,0
New Caledonia,2012,NA,NA,NA,NA,NA,0
New Caledonia,2013,NA,NA,NA,NA,NA,0
New Zealand,1984,8,3.65,7.29,7.29,10.94,37.17
New Zealand,1985,6.67,3.61,7.22,7.22,10.84,35.56
New Zealand,1986,7,3.75,7.5,7.5,11.25,37
New Zealand,1987,6.88,3.75,7.5,7.5,11.25,36.88
New Zealand,1988,7.5,3.75,7.5,7.5,11.25,37.5
New Zealand,1989,8.5,3.51,7.02,7.02,10.52,36.57
New Zealand,1990,8.17,2.78,5.56,5.56,8.34,30.41
New Zealand,1991,8.5,2.08,4.17,4.17,6.25,25.17
New Zealand,1992,9.33,2.4,4.79,4.79,7.19,28.5
New Zealand,1993,9.5,2.5,5,5,7.5,29.5
New Zealand,1994,9.5,2.5,5,5,7.5,29.5
New Zealand,1995,9,2.71,5.42,5.42,8.13,30.68
New Zealand,1996,9.46,2.74,5.49,5.49,8.23,31.41
New Zealand,1997,9.75,3.51,6.53,7.03,9.46,36.28
New Zealand,1998,10,4.46,7.08,8.75,9.75,40.04
New Zealand,1999,10,3.61,6.79,8.25,9.79,38.44
New Zealand,2000,9.79,5,8.83,8.5,9.83,41.95
New Zealand,2001,9.33,4.42,7.92,8.5,9.79,39.96
New Zealand,2002,9.75,4,7.5,8.5,9.17,38.92
New Zealand,2003,9.92,4.21,8.08,8.5,10.33,41.04
New Zealand,2004,9.71,4.38,8.08,8.5,10.21,40.88
New Zealand,2005,9.46,4.71,7.79,8.92,10.04,40.92
New Zealand,2006,9,4.5,7.46,9.71,9,39.67
New Zealand,2007,9.21,4.5,7.5,9.75,8.54,39.5
New Zealand,2008,9.08,4.5,7.08,9.42,8.92,39
New Zealand,2009,9.33,4.5,3.5,6.67,9.5,33.5
New Zealand,2010,9.75,4.5,4.13,5.5,9.75,33.63
New Zealand,2011,8.63,4.5,6.88,4.25,10.88,35.14
New Zealand,2012,9.5,4.5,7.5,4.5,10,36
New Zealand,2013,10,4.5,7.75,6.5,10,38.75
Nicaragua,1984,3.5,1.67,3.33,3.33,5,16.83
Nicaragua,1985,3.5,1.35,2.71,2.71,4.06,14.33
Nicaragua,1986,1.46,1.25,2.5,2.5,3.75,11.46
Nicaragua,1987,0,1.25,2.5,2.5,3.75,10
Nicaragua,1988,0,1.25,2.5,2.5,3.75,10
Nicaragua,1989,0,1.25,2.5,2.5,3.75,10
Nicaragua,1990,0,1.49,2.99,2.99,4.48,11.95
Nicaragua,1991,0.17,1.49,2.99,2.99,4.48,12.12
Nicaragua,1992,1,1.67,3.33,3.33,5,14.33
Nicaragua,1993,4.83,1.67,3.33,3.33,5,18.16
Nicaragua,1994,5.46,1.67,3.33,3.33,5,18.79
Nicaragua,1995,6.88,2.08,4.17,4.17,6.25,23.55
Nicaragua,1996,6.67,1.88,3.75,3.75,5.63,21.68
Nicaragua,1997,7.08,1.49,5.86,5.4,5.69,25.52
Nicaragua,1998,6.75,0,8.83,5.04,3.13,23.75
Nicaragua,1999,5.5,0.03,8.25,6.83,1.63,22.24
Nicaragua,2000,7.38,0,4,7,1.5,19.88
Nicaragua,2001,7.96,0,8.96,7,2.75,26.67
Nicaragua,2002,8.13,0,8.5,7,3.88,27.51
Nicaragua,2003,8.5,0,7.67,2.63,3.63,22.43
Nicaragua,2004,8.21,0,8.21,4.88,2.71,24.01
Nicaragua,2005,7.79,0,8.79,7.63,5.92,30.13
Nicaragua,2006,7.5,0,8.5,6.25,7.21,29.46
Nicaragua,2007,8,0,9,5.29,6.42,28.71
Nicaragua,2008,6.5,0,8.5,6.5,6,27.5
Nicaragua,2009,7.17,0,5.33,5.38,8.21,26.09
Nicaragua,2010,7.67,0,3.75,4.75,8.33,24.5
Nicaragua,2011,8.33,0,7.83,6.71,6.96,29.83
Nicaragua,2012,7.88,0,8.5,6.88,6.67,29.93
Nicaragua,2013,7.79,0.04,8.75,7.04,7.21,30.83
Niger,1984,NA,NA,NA,NA,NA,0
Niger,1985,6,1.67,3.33,3.33,5,19.33
Niger,1986,6.42,1.67,3.33,3.33,5,19.75
Niger,1987,6.5,1.67,3.33,3.33,5,19.83
Niger,1988,6.5,1.91,3.82,3.82,5.73,21.78
Niger,1989,6.5,2.08,4.17,4.17,6.25,23.17
Niger,1990,7.5,2.19,4.38,4.38,6.56,25.01
Niger,1991,9,1.88,3.75,3.75,5.63,24.01
Niger,1992,9,1.25,2.5,2.5,3.75,19
Niger,1993,9,1.25,2.5,2.5,3.75,19
Niger,1994,8.75,1.25,2.5,2.5,3.75,18.75
Niger,1995,4.25,1.25,2.5,2.5,3.75,14.25
Niger,1996,6.46,1.25,2.5,2.5,3.75,16.46
Niger,1997,8.58,1.08,5.15,3.15,6.06,24.02
Niger,1998,8.67,0,9,4,8.5,30.17
Niger,1999,9.33,0,9.13,5.5,9.63,33.59
Niger,2000,10,0,9,6,10,35
Niger,2001,9,0,8.5,4,8.5,30
Niger,2002,9,0,8.83,4,8.83,30.66
Niger,2003,9,0,9,4,9,31
Niger,2004,9.5,0,9,4.5,10.25,33.25
Niger,2005,10,0,9,5,11.5,35.5
Niger,2006,8.5,0,9,6.5,9,33
Niger,2007,8.5,0,9,6.5,7.63,31.63
Niger,2008,9.42,0,9.46,6.5,8.42,33.8
Niger,2009,9.13,0,9.25,6.25,7.25,31.88
Niger,2010,8.08,0,8.5,5.33,3.5,25.41
Niger,2011,8.63,0,9.17,5.71,7.42,30.93
Niger,2012,8.5,0,8.5,6,2.5,25.5
Niger,2013,9.63,0,9.63,6.38,4,29.64
Nigeria,1984,4,2.08,4.17,4.17,6.25,20.67
Nigeria,1985,3.5,2.19,4.38,4.38,6.56,21.01
Nigeria,1986,3.5,1.67,3.26,3.26,4.9,16.59
Nigeria,1987,3.5,2.12,4.24,4.24,6.36,20.46
Nigeria,1988,5.33,2.36,4.72,4.72,7.08,24.21
Nigeria,1989,3.54,2.92,5.83,5.83,8.75,26.87
Nigeria,1990,4,2.6,5.21,5.21,7.81,24.83
Nigeria,1991,6.42,2.92,5.83,5.83,8.75,29.75
Nigeria,1992,5.67,2.5,5,5,7.5,25.67
Nigeria,1993,3.29,2.5,5,5,7.5,23.29
Nigeria,1994,2.58,2.33,4.65,4.65,6.98,21.19
Nigeria,1995,2.54,1.88,3.75,3.75,5.63,17.55
Nigeria,1996,3.08,2.08,4.17,4.17,6.25,19.75
Nigeria,1997,5.42,1.46,5.92,5.5,8.29,26.59
Nigeria,1998,8.25,0,8.5,7.04,12.88,36.67
Nigeria,1999,5.88,0.44,6.63,6.42,10.67,30.04
Nigeria,2000,7.92,0,8.38,6.5,10.83,33.63
Nigeria,2001,8.17,0,8.58,6.5,12.5,35.75
Nigeria,2002,5.79,0,8.08,5.17,9.54,28.58
Nigeria,2003,6.13,0,8.63,5.42,10.79,30.97
Nigeria,2004,6.67,0,8.54,5.71,10.83,31.75
Nigeria,2005,7.5,0,9,6.42,12.63,35.55
Nigeria,2006,6.71,0,8.96,7,14.96,37.63
Nigeria,2007,7.63,0,9.71,7,15,39.34
Nigeria,2008,7,0,10,6.79,15,38.79
Nigeria,2009,6.71,0.21,7.63,5.58,9.96,30.09
Nigeria,2010,6.83,0.38,9,5,11.67,32.88
Nigeria,2011,6.67,0.08,9.75,5.42,14.5,36.42
Nigeria,2012,6.83,0.17,10,6.21,13.38,36.59
Nigeria,2013,6.92,0,10,6.33,13.33,36.58
Norway,1984,8,4.17,8.34,8.34,12.5,41.35
Norway,1985,8,3.92,7.85,7.85,11.77,39.39
Norway,1986,8,3.26,6.53,6.53,9.79,34.11
Norway,1987,7.54,2.85,5.7,5.7,8.54,30.33
Norway,1988,8,2.95,5.9,5.9,8.86,31.61
Norway,1989,8.5,3.26,6.53,6.53,9.79,34.61
Norway,1990,8.79,3.09,6.18,6.18,9.27,33.51
Norway,1991,8.46,3.3,6.6,6.6,9.9,34.86
Norway,1992,9,2.43,4.86,4.86,7.29,28.44
Norway,1993,9,2.08,4.17,4.17,6.25,25.67
Norway,1994,9.75,2.08,4.17,4.17,6.25,26.42
Norway,1995,9.25,2.6,5.14,5.14,7.71,29.84
Norway,1996,9.58,3.54,7.29,7.29,10.94,38.64
Norway,1997,9.5,4.03,7.56,8.06,11.75,40.9
Norway,1998,9.5,5,8.79,10,13.5,46.79
Norway,1999,9.54,4.96,7,10,12.08,43.58
Norway,2000,9.17,5,8.25,10,14.5,46.92
Norway,2001,9.04,5,7.63,10,15,46.67
Norway,2002,9.5,5,7.75,10,14.63,46.88
Norway,2003,9.63,5,6.75,9.88,14.88,46.14
Norway,2004,10,5,8,10,15,48
Norway,2005,10,5,8.42,10,15,48.42
Norway,2006,9.83,5,8.17,10,15,48
Norway,2007,9.17,5,8.67,10,15,47.84
Norway,2008,9.42,5,7.92,10,15,47.34
Norway,2009,9.75,5,4.58,10,15,44.33
Norway,2010,9.25,5,6.42,10,15,45.67
Norway,2011,9.42,5,6.42,10,15,45.84
Norway,2012,9.58,5,6.58,10,15,46.16
Norway,2013,10,5,7.25,10,15,47.25
Oman,1984,5,2.8,5.6,5.6,8.39,27.39
Oman,1985,5,3.51,7.02,7.02,10.52,33.07
Oman,1986,5,3.37,6.74,6.74,10.11,31.96
Oman,1987,5,3.33,6.67,6.67,10,31.67
Oman,1988,5,3.16,6.32,6.32,9.48,30.28
Oman,1989,5,1.7,3.4,3.4,5.11,18.61
Oman,1990,7.63,2.71,5.42,5.42,8.13,29.31
Oman,1991,9,3.75,7.5,7.5,11.25,39
Oman,1992,8.71,3.44,6.88,6.88,10.31,36.22
Oman,1993,7.5,3.33,6.67,6.67,10,34.17
Oman,1994,8.75,2.99,5.97,5.97,8.96,32.64
Oman,1995,9.75,2.08,4.17,4.17,6.25,26.42
Oman,1996,9.83,2.08,4.17,4.17,6.25,26.5
Oman,1997,9.46,2.46,6.21,4.5,7.83,30.46
Oman,1998,9,3,9.21,5.96,10.17,37.34
Oman,1999,10,2.48,6.96,2.25,9,30.69
Oman,2000,10,3,9,8,10.5,40.5
Oman,2001,10,3,9.17,8.5,12.71,43.38
Oman,2002,9.79,3.38,8,7.17,11.75,40.09
Oman,2003,10,3.5,7.75,7.25,13.75,42.25
Oman,2004,10,3.04,7.75,8.25,12.38,41.42
Oman,2005,10,3,8.83,8.5,14.29,44.62
Oman,2006,10,3,9.25,8.5,14.75,45.5
Oman,2007,9.33,3,9.67,9.5,15,46.5
Oman,2008,8.08,3.5,9.75,9.5,14.67,45.5
Oman,2009,7.33,3.92,9.17,6.33,14.08,40.83
Oman,2010,7.88,3.63,9.38,7.88,14,42.77
Oman,2011,8.5,4,9,9,13.5,44
Oman,2012,8.96,4,9,9.88,14.88,46.72
Oman,2013,9,3.75,8.75,10,14.75,46.25
Pakistan,1984,7.5,2.74,5.49,5.49,8.23,29.45
Pakistan,1985,8,2.5,5,5,7.5,28
Pakistan,1986,8.5,2.5,5,5,7.5,28.5
Pakistan,1987,8.5,2.33,4.65,4.65,6.98,27.11
Pakistan,1988,7,2.08,4.17,4.17,6.25,23.67
Pakistan,1989,7,2.08,4.17,4.17,6.25,23.67
Pakistan,1990,7,1.6,3.2,3.2,4.79,19.79
Pakistan,1991,7,1.67,3.33,3.33,5,20.33
Pakistan,1992,7,1.94,3.89,3.89,5.83,22.55
Pakistan,1993,7,1.67,3.33,3.33,5,20.33
Pakistan,1994,7.29,1.7,3.4,3.4,5.11,20.9
Pakistan,1995,6.13,2.08,4.17,4.17,6.25,22.8
Pakistan,1996,6.79,2.67,5.35,5.35,8.02,28.18
Pakistan,1997,6.79,1.94,6.72,5.26,9,29.71
Pakistan,1998,7.96,0,8.33,4,9.54,29.83
Pakistan,1999,8.29,0.03,5.5,4.04,11.33,29.19
Pakistan,2000,8.33,0,8.38,4.96,10.54,32.21
Pakistan,2001,8.25,0,8.63,5,10.79,32.67
Pakistan,2002,8.38,0,8.5,5,11.13,33.01
Pakistan,2003,8.75,0,9,6,12.75,36.5
Pakistan,2004,8.42,0,9.63,5.54,13.08,36.67
Pakistan,2005,7.5,0,10,5.92,11.08,34.5
Pakistan,2006,7.58,0,10,6.04,10.54,34.16
Pakistan,2007,8,0,10,5.5,10,33.5
Pakistan,2008,7.13,0,9.46,5.42,9.42,31.43
Pakistan,2009,6.67,0,7.29,4.79,9.96,28.71
Pakistan,2010,6.5,0,8.5,5.08,10.58,30.66
Pakistan,2011,6.96,0,7.96,4.38,10.5,29.8
Pakistan,2012,7.42,0,8.46,4.71,10.79,31.38
Pakistan,2013,7.88,0,8.5,4.25,11,31.63
Panama,1984,9,2.47,4.93,4.93,7.4,28.73
Panama,1985,9,1.98,3.96,3.96,5.94,24.84
Panama,1986,9.38,1.67,3.33,3.33,5,22.71
Panama,1987,9.5,1.6,3.2,3.2,4.79,22.29
Panama,1988,8.58,1.39,2.78,2.78,4.17,19.7
Panama,1989,8.5,1.67,3.33,3.33,5,21.83
Panama,1990,8.5,1.81,3.61,3.61,5.42,22.95
Panama,1991,8.5,1.91,3.82,3.82,5.73,23.78
Panama,1992,9.08,2.08,4.17,4.17,6.25,25.75
Panama,1993,9.08,2.08,4.17,4.17,6.25,25.75
Panama,1994,9.88,2.08,4.17,4.17,6.25,26.55
Panama,1995,9.5,2.08,4.17,4.17,6.25,26.17
Panama,1996,10,2.08,4.17,4.17,6.25,26.67
Panama,1997,9.88,2.19,5.92,5.46,8.02,31.47
Panama,1998,10,1.96,9,7.08,10.08,38.12
Panama,1999,10,1.54,8.88,7.13,8.83,36.38
Panama,2000,9.33,2.08,8.5,7.5,9.5,36.91
Panama,2001,9.58,2.08,8.08,7.92,9.33,36.99
Panama,2002,9.92,2,6.08,8,9.42,35.42
Panama,2003,9.75,2,6.42,7.25,10.33,35.75
Panama,2004,9.96,2.08,8.21,6.71,10.79,37.75
Panama,2005,9.5,2,8.96,5.67,10.92,37.05
Panama,2006,9.75,2,9.08,5.58,10.25,36.66
Panama,2007,9.42,2,10,6.5,10,37.92
Panama,2008,7.58,2.17,10,7.83,11.5,39.08
Panama,2009,8.5,2.46,7.13,7.88,10.17,36.14
Panama,2010,8.88,2.5,8.38,6.88,9.63,36.27
Panama,2011,8.58,2.5,9.42,6.79,9.5,36.79
Panama,2012,8.38,2.5,9.63,6.88,9.38,36.77
Panama,2013,8.29,2.5,10,6.79,8.58,36.16
Papua New Guinea,1984,7.5,2.92,5.83,5.83,8.75,30.83
Papua New Guinea,1985,7.5,2.57,5.14,5.14,7.71,28.06
Papua New Guinea,1986,8,1.67,3.33,3.33,5,21.33
Papua New Guinea,1987,8,1.67,3.33,3.33,5,21.33
Papua New Guinea,1988,8,1.67,3.33,3.33,5,21.33
Papua New Guinea,1989,8,1.67,3.33,3.33,5,21.33
Papua New Guinea,1990,8,1.28,2.57,2.57,3.85,18.27
Papua New Guinea,1991,7.67,1.63,3.26,3.26,4.9,20.72
Papua New Guinea,1992,7.5,1.67,3.33,3.33,5,20.83
Papua New Guinea,1993,7.08,1.98,3.96,3.96,5.94,22.92
Papua New Guinea,1994,8.21,2.08,4.17,4.17,6.25,24.88
Papua New Guinea,1995,8.04,2.19,4.38,4.38,6.56,25.55
Papua New Guinea,1996,8,2.5,5,5,7.5,28
Papua New Guinea,1997,6.71,1.94,4.54,5.71,9.65,28.55
Papua New Guinea,1998,7.04,0.5,8.5,7,13.5,36.54
Papua New Guinea,1999,6.46,0.4,7.58,7.46,11.92,33.82
Papua New Guinea,2000,5.25,0.5,8.08,7,11.83,32.66
Papua New Guinea,2001,7.5,0.5,7.67,7.5,12.33,35.5
Papua New Guinea,2002,6.58,0.5,4.83,7.5,11.75,31.16
Papua New Guinea,2003,6.5,0.17,5.96,6.38,11.88,30.89
Papua New Guinea,2004,7.04,0,7.17,6.54,11.96,32.71
Papua New Guinea,2005,8.54,0,8.04,7.83,12.75,37.16
Papua New Guinea,2006,9.5,0,8.33,8,13.33,39.16
Papua New Guinea,2007,9.25,0,9,8,13.5,39.75
Papua New Guinea,2008,8.5,0,9.33,8.54,13.38,39.75
Papua New Guinea,2009,8.67,0,8.67,7,11.25,35.59
Papua New Guinea,2010,7.83,0,9,6.67,10.33,33.83
Papua New Guinea,2011,7.75,0,10,7.38,5.88,31.01
Papua New Guinea,2012,7.67,0.38,9.79,6.67,4.54,29.05
Papua New Guinea,2013,8.13,0.5,9,6,2.63,26.26
Paraguay,1984,4,3.33,6.67,6.67,10,30.67
Paraguay,1985,5,3.33,6.67,6.67,10,31.67
Paraguay,1986,3.92,2.85,5.7,5.7,8.54,26.71
